Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1722.0653808164525
FDW14,OUT017,1010.0078993274072
NCN55,OUT010,1768.1338520497695
FDQ58,OUT017,1783.633419455673
FDY38,OUT027,5160.610270383484
FDH56,OUT046,2204.3155858122154
FDL48,OUT018,1183.3449432129537
FDC48,OUT027,2812.853416427308
FDN33,OUT045,1463.5011546246747
FDA36,OUT017,2824.9667388043963
FDT44,OUT017,1560.546995683636
FDQ56,OUT045,1362.393459464009
NCC54,OUT019,2447.948419103036
FDU11,OUT049,2128.041839412893
DRL59,OUT013,864.9217711763711
FDM24,OUT049,2407.2396042510118
FDI57,OUT045,3039.895918825893
DRC12,OUT018,3298.4784207143493
NCM42,OUT027,3233.0192777805596
FDA46,OUT010,1223.2544368437761
FDA31,OUT013,2670.0525262233305
NCJ31,OUT035,3623.8114551850367
FDG52,OUT046,881.6752362454788
NCL19,OUT019,650.7836952081029
FDS10,OUT035,2666.2107723437693
FDX22,OUT010,1788.8259090398244
NCF19,OUT035,842.8704287923131
NCE06,OUT046,2810.4288636506444
DRC27,OUT046,4160.038750604924
FDE21,OUT035,1805.3576152879348
NCR42,OUT019,-909.6562073595856
FDX51,OUT018,3487.1658732114674
NCR06,OUT018,963.2031305805976
FDU31,OUT027,5050.01479933595
FDU59,OUT017,2290.9609521452276
FDR03,OUT027,4466.955542454261
FDS49,OUT027,2599.529315972605
FDD48,OUT010,102.59902338406687
NCF18,OUT017,2890.7802058981633
NCD43,OUT027,3098.702860162015
NCD54,OUT018,2614.8624230055475
FDY19,OUT010,117.3752188097593
NCY54,OUT017,2471.732080297573
NCL19,OUT018,2502.847707693451
FDP23,OUT010,1628.8946241415454
FDC26,OUT013,1679.8131627005673
FDR14,OUT010,-847.6746765987168
NCS41,OUT035,2657.494301246831
FDF41,OUT035,3887.7913220048804
FDU34,OUT046,2064.997338368059
DRH11,OUT046,1247.8157461911887
FDM03,OUT013,1001.602975226381
FDS31,OUT017,2213.365665689312
FDJ20,OUT017,1860.7669262299084
FDV44,OUT027,4408.4078810956335
FDG02,OUT049,3146.599401389931
FDA09,OUT013,2659.7440701879314
FDT04,OUT013,227.04449166040695
FDL58,OUT019,2693.716147811505
FDE52,OUT045,1230.1725987950458
FDW12,OUT035,2295.3447875798975
FDL51,OUT017,3266.5988629709273
NCY42,OUT027,3744.222139815036
FDR07,OUT017,1424.8009171415729
FDN40,OUT045,2107.220487221797
FDB35,OUT027,3043.1237759739815
FDA22,OUT017,2267.0358377551156
NCL06,OUT046,4301.3801317238585
FDI35,OUT013,2707.768972815553
NCW42,OUT045,3445.7557387592615
NCX06,OUT049,3058.802961507775
FDC37,OUT027,3282.778701290581
FDZ14,OUT018,2355.7833810755187
DRG49,OUT049,4084.9670226268563
NCG06,OUT045,3946.8486298640055
DRC36,OUT045,2818.8310640687005
FDV21,OUT019,357.32272972459907
FDB53,OUT046,2347.5792718159705
DRP47,OUT019,2405.8729605997682
FDA14,OUT013,2084.6890383287464
DRC24,OUT035,2446.6707478308354
FDW21,OUT018,1753.939575765686
NCH29,OUT046,1634.7331999544829
FDU58,OUT013,2841.9469415743897
FDY27,OUT017,2334.3606492765975
FDV56,OUT035,1789.1835088751945
FDT59,OUT046,3813.5509577684343
FDB23,OUT046,3792.290112188598
FDR49,OUT045,568.6342750078892
FDB03,OUT010,2113.225160758893
FDN39,OUT045,2591.1948900723883
FDX02,OUT027,4863.063749710693
FDQ16,OUT027,3194.574801903239
FDU35,OUT018,1551.0024482921563
NCT29,OUT013,1893.9141071066692
FDZ27,OUT046,747.0334115372094
FDN57,OUT017,2051.949586012686
FDA03,OUT018,2534.176971136756
FDZ36,OUT045,2963.0756097247613
NCU05,OUT013,1240.5540980931632
FDT39,OUT018,2902.830073945336
FDK60,OUT017,1084.2713040914587
FDZ25,OUT017,2279.4607045357843
FDG12,OUT046,1722.4682765786627
DRB01,OUT019,1361.260592132097
NCC43,OUT027,5223.459348428483
FDX13,OUT019,2442.7139540956764
FDM22,OUT049,1013.5139884331968
FDJ03,OUT027,2312.8107211940583
FDU14,OUT018,4163.372260658815
FDB33,OUT010,975.370358057031
FDP27,OUT046,3247.416124792755
FDO38,OUT010,-538.7401888223802
FDE28,OUT027,4919.068904615449
FDO27,OUT035,1422.6552840578956
DRL23,OUT027,3241.0055303106847
FDS28,OUT046,1173.2468882072405
FDX24,OUT013,1268.5791982784406
