Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1583.2724
FDW14,OUT017,1364.0491539906106
NCN55,OUT010,542.9755395973152
FDQ58,OUT017,2384.015126168225
FDY38,OUT027,5669.163351428571
FDH56,OUT046,1874.4309598591553
FDL48,OUT018,754.5960957264954
FDC48,OUT027,2513.0798546666674
FDN33,OUT045,1517.634856621005
FDA36,OUT017,3087.507511282049
FDT44,OUT017,1874.4309598591553
FDQ56,OUT045,1364.0491539906106
NCC54,OUT019,542.9755395973152
FDU11,OUT049,2054.2157066202085
DRL59,OUT013,754.5960957264954
FDM24,OUT049,2384.015126168225
FDI57,OUT045,2880.9695613636386
DRC12,OUT018,2880.9695613636386
NCM42,OUT027,3175.335988157896
FDA46,OUT010,542.9755395973152
FDA31,OUT013,2736.9684298755196
NCJ31,OUT035,3593.141235125451
FDG52,OUT046,754.5960957264954
NCL19,OUT019,286.4177705128206
FDS10,OUT035,2880.9695613636386
FDX22,OUT010,542.9755395973152
NCF19,OUT035,754.5960957264954
NCE06,OUT046,2384.015126168225
DRC27,OUT046,4109.900606217616
FDE21,OUT035,1874.4309598591553
NCR42,OUT019,130.33349056603777
FDX51,OUT018,3087.507511282049
NCR06,OUT018,544.79085
FDU31,OUT027,5669.163351428571
FDU59,OUT017,2384.015126168225
FDR03,OUT027,5669.163351428571
FDS49,OUT027,2513.0798546666674
FDD48,OUT010,286.4177705128206
NCF18,OUT017,2880.9695613636386
NCD43,OUT027,2513.0798546666674
NCD54,OUT018,1936.5082478260865
FDY19,OUT010,286.4177705128206
NCY54,OUT017,2997.407679041917
NCL19,OUT018,2346.648786938778
FDP23,OUT010,542.9755395973152
FDC26,OUT013,1583.2724
FDR14,OUT010,130.33349056603777
NCS41,OUT035,3389.226979354837
FDF41,OUT035,3593.141235125451
FDU34,OUT046,2054.2157066202085
DRH11,OUT046,876.3205797979801
FDM03,OUT013,1583.2724
FDS31,OUT017,3389.226979354837
FDJ20,OUT017,2054.2157066202085
FDV44,OUT027,5669.163351428571
FDG02,OUT049,3087.507511282049
FDA09,OUT013,2736.9684298755196
FDT04,OUT013,544.79085
FDL58,OUT019,542.9755395973152
FDE52,OUT045,1364.0491539906106
FDW12,OUT035,2384.015126168225
FDL51,OUT017,3753.0000993630574
NCY42,OUT027,3175.335988157896
FDR07,OUT017,1517.634856621005
FDN40,OUT045,2384.015126168225
FDB35,OUT027,2513.0798546666674
FDA22,OUT017,2384.015126168225
NCL06,OUT046,4027.3409750000005
FDI35,OUT013,3389.226979354837
NCW42,OUT045,3753.0000993630574
NCX06,OUT049,2736.9684298755196
FDC37,OUT027,3175.335988157896
FDZ14,OUT018,1936.5082478260865
DRG49,OUT049,3593.141235125451
NCG06,OUT045,4027.3409750000005
DRC36,OUT045,2997.407679041917
FDV21,OUT019,286.4177705128206
FDB53,OUT046,2539.394235877861
DRP47,OUT019,542.9755395973152
FDA14,OUT013,2346.648786938778
DRC24,OUT035,2539.394235877861
FDW21,OUT018,1740.9861528571435
